,Age,City,Event,Games,Height,Medal,NOC,Name,Season,Sex,Sport,Team,Unnamed: 0,Weight,Year
48505,20.0,Rio de Janeiro,"Wrestling Men's Featherweight, Freestyle",2016 Summer,163.0,Silver,JPN,Rei Higuchi,Summer,M,Wrestling,Japan,95824,63.0,2016
48553,23.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,194.0,Silver,AUS,"Alexander ""Alex"" Hill",Summer,M,Rowing,Australia,95919,92.0,2016
48581,26.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,193.0,Bronze,USA,"Kimberly ""Kim"" Hill",Summer,F,Volleyball,United States,95966,72.0,2016
48586,37.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,172.0,Gold,GBR,Phelan Peter Hill,Summer,M,Rowing,Great Britain,95976,55.0,2016
48858,25.0,Rio de Janeiro,Athletics Women's Hammer Throw,2016 Summer,170.0,Bronze,GBR,Sophie Hitchon,Summer,F,Athletics,Great Britain,96504,75.0,2016
49581,29.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,208.0,Bronze,USA,"Maxwell Philip ""Max"" Holt",Summer,M,Volleyball,United States,97960,90.0,2016
49881,20.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,179.0,Silver,FRA,Tamara Horacek,Summer,F,Handball,France,98565,80.0,2016
50055,20.0,Rio de Janeiro,Swimming Men's 400 metres Freestyle,2016 Summer,190.0,Gold,AUS,"Mackenzie ""Mack"" Horton",Summer,M,Swimming,Australia,98898,88.0,2016
50124,25.0,Rio de Janeiro,Swimming Women's 200 metres Butterfly,2016 Summer,164.0,Bronze,JPN,Natsumi Hoshi,Summer,F,Swimming,Japan,99037,56.0,2016
50170,27.0,Rio de Janeiro,Swimming Women's 400 metres Individual Medley,2016 Summer,175.0,Gold,HUN,Katinka Hossz,Summer,F,Swimming,Hungary,99151,65.0,2016
50222,24.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,168.0,Silver,FRA,Manon Houette,Summer,F,Handball,France,99247,69.0,2016
50228,35.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,193.0,Silver,GBR,Frances Julia Houghton,Summer,F,Rowing,Great Britain,99261,80.0,2016
50232,22.0,Rio de Janeiro,Rowing Men's Lightweight Double Sculls,2016 Summer,182.0,Gold,FRA,Pierre Houin,Summer,M,Rowing,France,99267,74.0,2016
50473,24.0,Rio de Janeiro,Boxing Men's Super-Heavyweight,2016 Summer,198.0,Bronze,CRO,Filip Hrgovi,Summer,M,Boxing,Croatia,99747,101.0,2016
50552,26.0,Rio de Janeiro,"Wrestling Men's Middleweight, Freestyle",2016 Summer,170.0,Bronze,AZE,Cbrayl Hsnov,Summer,M,Wrestling,Azerbaijan,99916,74.0,2016
50565,23.0,Rio de Janeiro,Boxing Men's Flyweight,2016 Summer,168.0,Bronze,CHN,Hu Jianguan,Summer,M,Boxing,China,99938,52.0,2016
50653,25.0,Rio de Janeiro,Rowing Women's Lightweight Double Sculls,2016 Summer,178.0,Bronze,CHN,Huang Wenyi,Summer,F,Rowing,China,100101,63.0,2016
50923,25.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,192.0,Gold,CHN,Hui Ruoqi,Summer,F,Volleyball,China,100707,78.0,2016
51457,30.0,Rio de Janeiro,Gymnastics Men's Floor Exercise,2016 Summer,170.0,Silver,BRA,Diego Matias Hyplito,Summer,M,Gymnastics,Brazil,101753,68.0,2016
51514,32.0,Rio de Janeiro,Athletics Women's Triple Jump,2016 Summer,185.0,Gold,COL,Caterine Ibargn Mena,Summer,F,Athletics,Colombia,101862,70.0,2016
51534,31.0,Rio de Janeiro,"Wrestling Men's Heavyweight, Freestyle",2016 Summer,183.0,Bronze,UZB,Magomed Idrisovich Ibragimov,Summer,M,Wrestling,Uzbekistan,101904,97.0,2016
51603,32.0,Rio de Janeiro,"Wrestling Women's Lightweight, Freestyle",2016 Summer,166.0,Gold,JPN,Kaori Icho,Summer,F,Wrestling,Japan,102017,61.0,2016
51754,25.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,185.0,Silver,JPN,Shota Iizuka,Summer,M,Athletics,Japan,102310,80.0,2016
51818,30.0,Rio de Janeiro,"Wrestling Men's Heavyweight, Greco-Roman",2016 Summer,180.0,Bronze,TUR,Cenk ldem,Summer,M,Wrestling,Turkey,102450,98.0,2016
51921,25.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,174.0,Gold,RUS,Yekaterina Fyodorovna Ilyina,Summer,F,Handball,Russia,102632,60.0,2016
52383,24.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,190.0,Gold,USA,Kyrie Andrew Irving,Summer,M,Basketball,United States,103530,87.0,2016
52448,26.0,Rio de Janeiro,Taekwondo Men's Heavyweight,2016 Summer,200.0,Gold,AZE,Radik sayev,Summer,M,Taekwondo,Azerbaijan,103668,93.0,2016
53025,29.0,Rio de Janeiro,Taekwondo Men's Heavyweight,2016 Summer,190.0,Bronze,KOR,Ja Dong-Min,Summer,M,Taekwondo,South Korea,104762,91.0,2016
53145,22.0,Rio de Janeiro,Athletics Women's 4 x 400 metres Relay,2016 Summer,173.0,Silver,JAM,Shericka Jackson,Summer,F,Athletics,Jamaica,104999,61.0,2016
53283,25.0,Rio de Janeiro,"Swimming Men's 1,500 metres Freestyle",2016 Summer,185.0,Silver,USA,Connor Jaeger,Summer,M,Swimming,United States,105321,77.0,2016
53289,22.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,198.0,Bronze,USA,"Thomas ""Tom"" Jaeschke",Summer,M,Volleyball,United States,105329,91.0,2016
53305,27.0,Rio de Janeiro,"Athletics Men's 3,000 metres Steeplechase",2016 Summer,188.0,Silver,USA,Evan Reese Jager,Summer,M,Athletics,United States,105362,65.0,2016
53423,23.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,194.0,Silver,GER,Malte Jakschik,Summer,M,Rowing,Germany,105630,93.0,2016
53492,23.0,Rio de Janeiro,Athletics Men's 400 metres,2016 Summer,180.0,Silver,GRN,Kirani James,Summer,M,Athletics,Grenada,105755,66.0,2016
53547,34.0,Rio de Janeiro,Rowing Men's Quadruple Sculls,2016 Summer,184.0,Bronze,EST,Andrei Jms,Summer,M,Rowing,Estonia,105842,90.0,2016
53798,27.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,182.0,Silver,NED,Inge Janssen,Summer,F,Rowing,Netherlands,106342,74.0,2016
54001,26.0,Rio de Janeiro,Athletics Men's Discus Throw,2016 Summer,207.0,Bronze,GER,Daniel Jasinski,Summer,M,Athletics,Germany,106826,120.0,2016
54135,19.0,Rio de Janeiro,"Athletics Women's 3,000 metres Steeplechase",2016 Summer,162.0,Gold,BRN,Ruth Jebet,Summer,F,Athletics,Bahrain,107112,51.0,2016
54302,34.0,Rio de Janeiro,Rowing Women's Lightweight Double Sculls,2016 Summer,165.0,Silver,CAN,Lindsay Jennerich,Summer,F,Rowing,Canada,107448,59.0,2016
54379,31.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,197.0,Gold,DEN,Henrik Mllgaard Jensen,Summer,M,Handball,Denmark,107590,102.0,2016
55069,28.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,193.0,Silver,GER,Eric Johannesen,Summer,M,Rowing,Germany,108903,100.0,2016
55550,21.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,209.0,Silver,SRB,Nikola Joki,Summer,M,Basketball,Serbia,109857,115.0,2016
55676,23.0,Rio de Janeiro,Taekwondo Women's Featherweight,2016 Summer,156.0,Gold,GBR,Jade Louise Jones,Summer,F,Taekwondo,Great Britain,110108,57.0,2016
55874,28.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,211.0,Gold,USA,"Hyland DeAndre Jordan, Jr.",Summer,M,Basketball,United States,110505,120.0,2016
56046,26.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,179.0,Bronze,SRB,Nevena Jovanovi,Summer,F,Basketball,Serbia,110799,72.0,2016
56055,25.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,196.0,Silver,SRB,Stefan Jovi,Summer,M,Basketball,Serbia,110813,94.0,2016
56073,30.0,Rio de Janeiro,Boxing Men's Super-Heavyweight,2016 Summer,197.0,Silver,GBR,"Joseph ""Joe"" Joyce",Summer,M,Boxing,Great Britain,110837,108.0,2016
56133,31.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,183.0,Silver,DEN,Morten Jrgensen,Summer,M,Rowing,Denmark,110948,73.0,2016
56171,30.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,200.0,Silver,ITA,Osmany Juantorena Portuondo,Summer,M,Volleyball,Italy,111019,85.0,2016
56863,24.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,202.0,Silver,SRB,Nikola Kalini,Summer,M,Basketball,Serbia,112292,102.0,2016
56873,27.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,183.0,Gold,RUS,Viktoriya Viktorovna Kalinina,Summer,F,Handball,Russia,112312,74.0,2016
56887,22.0,Rio de Janeiro,Swimming Men's 400 metres Individual Medley,2016 Summer,193.0,Silver,USA,Chase Tyler Kalisz,Summer,M,Swimming,United States,112345,86.0,2016
57212,27.0,Rio de Janeiro,Swimming Women's 200 metres Breaststroke,2016 Summer,175.0,Gold,JPN,Rie Kaneto,Summer,F,Swimming,Japan,112918,64.0,2016
57315,23.0,Rio de Janeiro,Swimming Women's 800 metres Freestyle,2016 Summer,168.0,Bronze,HUN,Boglrka Kaps,Summer,F,Swimming,Hungary,113134,54.0,2016
57388,28.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,202.0,Silver,FRA,Luka Karabatic,Summer,M,Handball,France,113296,108.0,2016
57389,32.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,194.0,Silver,FRA,Nikola Karabatic,Summer,M,Handball,France,113300,104.0,2016
57997,22.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,162.0,Gold,JPN,Ryohei Kato,Summer,M,Gymnastics,Japan,114515,54.0,2016
58163,21.0,Rio de Janeiro,"Wrestling Women's Middleweight, Freestyle",2016 Summer,160.0,Gold,JPN,Risako Kawai,Summer,F,Wrestling,Japan,114840,61.0,2016
58233,26.0,Rio de Janeiro,"Wrestling Men's Super-Heavyweight, Greco-Roman",2016 Summer,182.0,Silver,TUR,Rza Kayaalp,Summer,M,Wrestling,Turkey,114968,130.0,2016
58380,29.0,Rio de Janeiro,Rowing Men's Coxless Pairs,2016 Summer,196.0,Silver,RSA,Shaun Keeling,Summer,M,Rowing,South Africa,115218,94.0,2016
58684,19.0,Rio de Janeiro,Swimming Men's 200 metres Butterfly,2016 Summer,186.0,Bronze,HUN,Tams Kenderesi,Summer,M,Swimming,Hungary,115860,74.0,2016
58688,23.0,Rio de Janeiro,Athletics Men's Pole Vault,2016 Summer,185.0,Bronze,USA,Sam Kendricks,Summer,M,Athletics,United States,115866,80.0,2016
59302,25.0,Rio de Janeiro,"Wrestling Men's Featherweight, Freestyle",2016 Summer,170.0,Gold,GEO,Vladimer Khinchegashvili,Summer,M,Wrestling,Georgia,117104,57.0,2016
59542,22.0,Rio de Janeiro,"Athletics Women's 1,500 metres",2016 Summer,157.0,Gold,KEN,Faith Chepngetich Kibiegon,Summer,F,Athletics,Kenya,117656,43.0,2016
59984,27.0,Rio de Janeiro,"Wrestling Men's Middleweight, Greco-Roman",2016 Summer,173.0,Bronze,KOR,Kim Hyeon-Wu,Summer,M,Wrestling,South Korea,118572,80.0,2016
60247,22.0,Rio de Janeiro,Taekwondo Women's Flyweight,2016 Summer,164.0,Gold,KOR,Kim So-Hui,Summer,F,Taekwondo,South Korea,119020,50.0,2016
60284,21.0,Rio de Janeiro,Taekwondo Men's Flyweight,2016 Summer,182.0,Bronze,KOR,Kim Tae-Hun,Summer,M,Taekwondo,South Korea,119106,59.0,2016
60494,19.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,175.0,Gold,USA,Lilly King,Summer,F,Swimming,United States,119501,70.0,2016
60589,31.0,Rio de Janeiro,Athletics Men's Marathon,2016 Summer,167.0,Gold,KEN,Eliud Kipchoge,Summer,M,Athletics,Kenya,119677,57.0,2016
60624,21.0,Rio de Janeiro,"Athletics Men's 3,000 metres Steeplechase",2016 Summer,167.0,Gold,KEN,Conseslus Kipruto,Summer,M,Athletics,Kenya,119738,58.0,2016
60784,32.0,Rio de Janeiro,Athletics Women's Marathon,2016 Summer,155.0,Silver,BRN,Eunice Jepkirui Kirwa,Summer,F,Athletics,Bahrain,120083,49.0,2016
60790,20.0,Rio de Janeiro,Athletics Men's 4 x 100 metres Relay,2016 Summer,175.0,Silver,JPN,Yoshihide Kiryu,Summer,M,Athletics,Japan,120102,68.0,2016
60965,24.0,Rio de Janeiro,"Athletics Women's 3,000 metres Steeplechase",2016 Summer,162.0,Silver,KEN,Hyvin Kiyeng Jepkemoi,Summer,F,Athletics,Kenya,120459,42.0,2016
61715,22.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,183.0,Bronze,JPN,Yuki Kobori,Summer,M,Swimming,Japan,122073,77.0,2016
61721,25.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,177.0,Bronze,POL,Agnieszka Kobus,Summer,F,Rowing,Poland,122089,68.0,2016
61812,19.0,Rio de Janeiro,Gymnastics Women's Uneven Bars,2016 Summer,157.0,Silver,USA,Madison Taylor Kocian,Summer,F,Gymnastics,United States,122275,46.0,2016
62116,21.0,Rio de Janeiro,Athletics Women's Javelin Throw,2016 Summer,170.0,Gold,CRO,Sara Kolak,Summer,F,Athletics,Croatia,122884,74.0,2016
63392,27.0,Rio de Janeiro,Athletics Men's Shot Put,2016 Summer,183.0,Silver,USA,"Joseph Mathias ""Joe"" Kovacs",Summer,M,Athletics,United States,125630,134.0,2016
63955,27.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,195.0,Gold,DEN,Jannick Green Krejberg,Summer,M,Handball,Denmark,126854,95.0,2016
64109,26.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,175.0,Bronze,NOR,Veronica Egebakken Kristiansen,Summer,F,Handball,Norway,127156,68.0,2016
64194,25.0,Rio de Janeiro,Basketball Women's Basketball,2016 Summer,193.0,Bronze,SRB,Sara Krnji,Summer,F,Basketball,Serbia,127338,83.0,2016
64636,21.0,Rio de Janeiro,"Wrestling Men's Light-Heavyweight, Greco-Roman",2016 Summer,184.0,Bronze,GER,Denis Maksymilian Kudla,Summer,M,Wrestling,Germany,128373,90.0,2016
64676,29.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,196.0,Silver,GER,Andreas Kuffner,Summer,M,Rowing,Germany,128438,94.0,2016
64709,23.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,198.0,Bronze,GER,Julius Khn,Summer,M,Handball,Germany,128521,110.0,2016
64787,27.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,172.0,Silver,RUS,Nikolay Yulyevich Kuksenkov,Summer,M,Gymnastics,Russia,128700,65.0,2016
65199,25.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,175.0,Bronze,NOR,Amanda Maria Kurtovic,Summer,F,Handball,Norway,129517,71.0,2016
65411,29.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,168.0,Gold,RUS,Polina Viktorovna Kuznetsova (Vyakhireva-),Summer,F,Handball,Russia,129925,60.0,2016
65585,26.0,Rio de Janeiro,Boxing Men's Light-Heavyweight,2016 Summer,182.0,Gold,CUB,Julio Csar La Cruz Peraza,Summer,M,Boxing,Cuba,130306,81.0,2016
65759,29.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,177.0,Silver,FRA,Alexandra Lacrabre,Summer,F,Handball,France,130607,73.0,2016
66315,27.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,201.0,Gold,DEN,Niklas Landin Jacobsen,Summer,M,Handball,Denmark,131775,102.0,2016
66328,30.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,174.0,Silver,FRA,Laurisa Landre,Summer,F,Handball,France,131805,67.0,2016
66517,33.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,194.0,Gold,GBR,"Matthew Keir ""Matt"" Langridge",Summer,M,Rowing,Great Britain,132169,93.0,2016
66575,25.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,198.0,Silver,ITA,Filippo Lanza,Summer,M,Volleyball,Italy,132278,98.0,2016
66714,22.0,Rio de Janeiro,"Wrestling Women's Middleweight, Freestyle",2016 Summer,158.0,Bronze,KAZ,Yekaterina Alekseyevna Larionova,Summer,F,Wrestling,Kazakhstan,132537,63.0,2016
66726,23.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Medley Relay,2016 Summer,187.0,Bronze,AUS,"Mitchell James ""Mitch"" Larkin",Summer,M,Swimming,Australia,132561,72.0,2016
66805,28.0,Rio de Janeiro,Rowing Men's Lightweight Coxless Fours,2016 Summer,182.0,Silver,DEN,Jacob Sgaard Larsen,Summer,M,Rowing,Denmark,132723,73.0,2016
66820,24.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,188.0,Gold,DEN,Mads Mensah Larsen,Summer,M,Handball,Denmark,132743,106.0,2016
66861,29.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,188.0,Bronze,USA,Jordan Quinn Larson-Burbach,Summer,F,Volleyball,United States,132828,75.0,2016
67233,29.0,Rio de Janeiro,Athletics Men's Pole Vault,2016 Summer,177.0,Silver,FRA,Renaud Lavillenie,Summer,M,Athletics,France,133558,71.0,2016
67496,24.0,Rio de Janeiro,Swimming Men's 100 metres Butterfly,2016 Summer,190.0,Silver,RSA,Chad Guy Bertrand le Clos,Summer,M,Swimming,South Africa,134053,83.0,2016
67746,19.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,183.0,Gold,USA,"Kathleen Genevieve ""Katie"" Ledecky",Summer,F,Swimming,United States,134636,73.0,2016
67831,24.0,Rio de Janeiro,Taekwondo Men's Featherweight,2016 Summer,183.0,Bronze,KOR,Lee Dae-Hun,Summer,M,Taekwondo,South Korea,134811,70.0,2016
67839,34.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,203.0,Bronze,USA,David Cameron Lee,Summer,M,Volleyball,United States,134825,105.0,2016
68222,30.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,176.0,Silver,GBR,Zoe Samantha Lee,Summer,F,Rowing,Great Britain,135586,70.0,2016
68610,26.0,Rio de Janeiro,Athletics Men's 200 metres,2016 Summer,190.0,Bronze,FRA,Christophe Alexandre Christian Lematre,Summer,M,Athletics,France,136432,74.0,2016
68640,24.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,210.0,Bronze,GER,Finn Lemke,Summer,M,Handball,Germany,136481,115.0,2016
69027,27.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,183.0,Bronze,POL,Joanna Leszczyska,Summer,F,Rowing,Poland,137307,75.0,2016
69152,31.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,176.0,Gold,RUS,Olga Sergeyevna Levina-Akopyan,Summer,F,Handball,Russia,137572,63.0,2016
69163,28.0,Rio de Janeiro,Boxing Men's Heavyweight,2016 Summer,185.0,Silver,KAZ,Vasily Alekseyevich Levit,Summer,M,Boxing,Kazakhstan,137603,91.0,2016
69280,30.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,178.0,Silver,FRA,Amandine Suzanne Monique Leynaud,Summer,F,Handball,France,137839,64.0,2016
69285,24.0,Rio de Janeiro,Gymnastics Men's Horizontal Bar,2016 Summer,170.0,Silver,USA,Danell Johan Leyva Gonzalez,Summer,M,Gymnastics,United States,137854,68.0,2016
69466,26.0,Rio de Janeiro,Boxing Women's Middleweight,2016 Summer,180.0,Bronze,CHN,Li Qian,Summer,F,Boxing,China,138282,75.0,2016
69771,24.0,Rio de Janeiro,Rowing Women's Quadruple Sculls,2016 Summer,183.0,Gold,GER,Julia Lier,Summer,F,Rowing,Germany,138892,78.0,2016
69854,26.0,Rio de Janeiro,Athletics Men's Marathon,2016 Summer,175.0,Silver,ETH,Feyisa Lilesa,Summer,M,Athletics,Ethiopia,139051,67.0,2016
69955,20.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,163.0,Bronze,CHN,Lin Chaopan,Summer,M,Gymnastics,China,139275,60.0,2016
69978,24.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,171.0,Gold,CHN,Lin Li,Summer,F,Volleyball,China,139334,70.0,2016
70582,29.0,Rio de Janeiro,Athletics Women's 20 kilometres Walk,2016 Summer,160.0,Gold,CHN,Liu Hong,Summer,F,Athletics,China,140587,50.0,2016
70665,26.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,188.0,Gold,CHN,Liu Xiaotong,Summer,F,Volleyball,China,140755,70.0,2016
70677,21.0,Rio de Janeiro,Gymnastics Men's Team All-Around,2016 Summer,162.0,Bronze,CHN,Liu Yang,Summer,M,Gymnastics,China,140788,61.0,2016
70766,25.0,Rio de Janeiro,"Wrestling Men's Featherweight, Freestyle",2016 Summer,168.0,Bronze,AZE,Hac liyev,Summer,M,Wrestling,Azerbaijan,140971,65.0,2016
70844,26.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,180.0,Bronze,USA,Carli Ellen Lloyd,Summer,F,Volleyball,United States,141155,75.0,2016
70865,28.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,192.0,Bronze,ESP,Sergio Llull Meli,Summer,M,Basketball,Spain,141213,91.0,2016
70965,32.0,Rio de Janeiro,Swimming Men's 4 x 200 metres Freestyle Relay,2016 Summer,188.0,Gold,USA,Ryan Steven Lochte,Summer,M,Swimming,United States,141437,88.0,2016
70979,28.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,191.0,Silver,AUS,William Lockwood,Summer,M,Rowing,Australia,141461,88.0,2016
70992,21.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,196.0,Bronze,ITA,Matteo Lodo,Summer,M,Rowing,Italy,141484,90.0,2016
71034,28.0,Rio de Janeiro,Rowing Women's Coxed Eights,2016 Summer,188.0,Gold,USA,"Eleanor ""Elle"" Logan",Summer,F,Rowing,United States,141592,86.0,2016
71328,23.0,Rio de Janeiro,Boxing Men's Middleweight,2016 Summer,178.0,Gold,CUB,Arlen Lpez Cardona,Summer,M,Boxing,Cuba,142178,75.0,2016
71437,33.0,Rio de Janeiro,"Wrestling Men's Super-Heavyweight, Greco-Roman",2016 Summer,198.0,Gold,CUB,Mijan Lpez Nez,Summer,M,Wrestling,Cuba,142381,130.0,2016
71687,24.0,Rio de Janeiro,Rowing Men's Coxless Fours,2016 Summer,190.0,Gold,GBR,Constantine Michael Louloudis,Summer,M,Rowing,Great Britain,142874,92.0,2016
71799,23.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,193.0,Bronze,USA,Karsta Lowe,Summer,F,Volleyball,United States,143080,82.0,2016
71822,30.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,183.0,Gold,USA,Kyle Lowry,Summer,M,Basketball,United States,143119,93.0,2016
71867,33.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,173.0,Bronze,NOR,Heidi Lke,Summer,F,Handball,Norway,143200,68.0,2016
71922,22.0,Rio de Janeiro,Athletics Women's 20 kilometres Walk,2016 Summer,160.0,Bronze,CHN,Lu Xiuzhi,Summer,F,Athletics,China,143294,45.0,2016
71981,24.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,195.0,Gold,BRA,Ricardo Samuel Lucarelli Santos de Souza,Summer,M,Volleyball,Brazil,143414,79.0,2016
72059,31.0,Rio de Janeiro,Rowing Men's Coxed Eights,2016 Summer,199.0,Bronze,NED,Robert Lcken,Summer,M,Rowing,Netherlands,143561,95.0,2016
72126,26.0,Rio de Janeiro,"Wrestling Men's Heavyweight, Greco-Roman",2016 Summer,190.0,Silver,CUB,Yasmany Daniel Lugo Cabrera,Summer,M,Wrestling,Cuba,143693,98.0,2016
72160,32.0,Rio de Janeiro,Volleyball Men's Volleyball,2016 Summer,196.0,Gold,BRA,Luiz Felipe Marques Fonteles,Summer,M,Volleyball,Brazil,143750,89.0,2016
72292,36.0,Rio de Janeiro,Handball Women's Handball,2016 Summer,181.0,Bronze,NOR,Kristine Lunde-Borgersen,Summer,F,Handball,Norway,144052,67.0,2016
73094,22.0,Rio de Janeiro,Swimming Women's 4 x 200 metres Freestyle Relay,2016 Summer,172.0,Bronze,CAN,Brittany MacLean,Summer,F,Swimming,Canada,145652,70.0,2016
73147,26.0,Rio de Janeiro,Basketball Men's Basketball,2016 Summer,205.0,Silver,SRB,Milan Mavan,Summer,M,Basketball,Serbia,145761,107.0,2016
73153,28.0,Rio de Janeiro,Rowing Women's Double Sculls,2016 Summer,175.0,Gold,POL,Natalia Madaj,Summer,F,Rowing,Poland,145769,68.0,2016
73221,30.0,Rio de Janeiro,Athletics Women's Long Jump,2016 Summer,168.0,Gold,USA,Tianna Madison-Bartoletta,Summer,F,Athletics,United States,145907,58.0,2016
73264,31.0,Rio de Janeiro,"Wrestling Men's Middleweight, Greco-Roman",2016 Summer,177.0,Silver,DEN,Mark Overgaard Madsen,Summer,M,Wrestling,Denmark,146010,80.0,2016
73453,25.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,198.0,Bronze,AUS,James Magnussen,Summer,M,Swimming,Australia,146372,94.0,2016
73525,25.0,Rio de Janeiro,Handball Men's Handball,2016 Summer,186.0,Silver,FRA,Kentin Mah,Summer,M,Handball,France,146508,83.0,2016
73683,24.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Freestyle Relay,2016 Summer,173.0,Bronze,CAN,Sandrine Mainville,Summer,F,Swimming,Canada,146796,65.0,2016
73857,28.0,Rio de Janeiro,"Athletics Men's 1,500 metres",2016 Summer,170.0,Silver,ALG,Taoufik Makhloufi,Summer,M,Athletics,Algeria,147154,67.0,2016
73952,23.0,Rio de Janeiro,Taekwondo Women's Featherweight,2016 Summer,174.0,Bronze,EGY,Hedaya Ahmad Malak Wahba,Summer,F,Taekwondo,Egypt,147347,57.0,2016
74029,25.0,Rio de Janeiro,Volleyball Women's Volleyball,2016 Summer,185.0,Silver,SRB,Tijana Maleevi,Summer,F,Volleyball,Serbia,147525,78.0,2016
74069,23.0,Rio de Janeiro,"Wrestling Women's Lightweight, Freestyle",2016 Summer,162.0,Bronze,IND,Sakshi Malik,Summer,F,Wrestling,India,147624,58.0,2016
74264,23.0,Rio de Janeiro,"Wrestling Women's Middleweight, Freestyle",2016 Summer,163.0,Silver,BLR,Mariya Ruslanovna Mamoshuk,Summer,F,Wrestling,Belarus,147979,65.0,2016
74294,25.0,Rio de Janeiro,Swimming Men's 4 x 100 metres Freestyle Relay,2016 Summer,199.0,Silver,FRA,Florent Manaudou,Summer,M,Swimming,France,148033,99.0,2016
74639,20.0,Rio de Janeiro,Swimming Women's 4 x 100 metres Medley Relay,2016 Summer,178.0,Gold,USA,Simone Ashley Manuel,Summer,F,Swimming,United States,148819,73.0,2016
74654,38.0,Rio de Janeiro,"Wrestling Women's Heavyweight, Freestyle",2016 Summer,174.0,Silver,KAZ,Gyuzel Tagirovna Manyurova,Summer,F,Wrestling,Kazakhstan,148844,75.0,2016
74678,16.0,Rio de Janeiro,Gymnastics Women's Team All-Around,2016 Summer,151.0,Bronze,CHN,Mao Yi,Summer,F,Gymnastics,China,148885,35.0,2016
